decTask,Declareされているタスク数
tcb[0].concept,タスクの種類
tcb[0].numoccRes,スタックに格納されているリソース数
resourceID,獲得したリソースのID
tcb[0].eve_wait,待機イベント
runningTask,現在RUNNINGのタスクID
decEvent,Declareされているイベント数
tcb[0].occRes[MAXRES],獲得したリソースのスタック
tcb[0].maxActcnt,最大多重起動数
ecb[0].eve_id,イベントID
tcb[0].eve_set,セット済みイベント
rcb[0].res_ceilpri,優先度
tcb[0].t_preemptable,プリエンプション有無
prev_pri,獲得前の優先度
rcb[0].res_locked,獲得済みかどうか
decRes,Declareされているリソース数
tcb[0].t_id,タスクID
tcb[0].t_state,状態
ecb[0].eve_mask,イベントマスク
rcb[0].res_id,リソースID
tcb[0].t_init_pri,初期優先度
tcb[0].t_cur_pri,現在優先度
tcb[0].actcnt,現在多重起動数
OS_status,現在のOSの状態
